ensembl_gene_id	chromosome_name	start_position	end_position	external_gene_name
Os03g0114800	3	842577	846408	OSJNBa0090O10.18
Os03g0114850	3	845255	845921	""
Os03g0114900	3	848054	849141	OSJNBa0090O10.19
Os03g0114950	3	848477	849095	""
Os03g0115000	3	850769	851768	OsENODL10
Os03g0115100	3	852383	857144	OSJNBa0090O10.21
Os03g0115200	3	857832	859757	""
Os03g0115300	3	861320	862938	""
Os03g0115350	3	870492	871841	""
Os03g0115400	3	870844	875516	OsWD40-60
Os03g0115500	3	878854	881449	""
Os03g0115700	3	884706	886943	OSJNBa0090O10.25
Os03g0115800	3	887193	888623	JT1
Os03g0116000	3	906127	909697	""
Os03g0116300	3	922684	928190	""
Os03g0116316	3	925852	926283	""
Os03g0116333	3	925858	927905	""
Os03g0116366	3	931766	932663	""
Os03g0116400	3	932241	934775	OsRhmbd7
Os03g0116500	3	935129	939195	""
Os03g0116600	3	939351	939886	""
Os03g0116700	3	942736	944993	OsFbox127
Os03g0116800	3	946032	948981	Os_F0716
Os03g0116850	3	946609	948961	""
Os03g0116900	3	949797	957750	""
Os03g0117000	3	950273	952549	""
Os03g0117050	3	957845	958110	""
Os03g0117100	3	958129	960101	PEX11-1
Os03g0117200	3	960447	962524	""
Os03g0117300	3	964180	965301	""
Os03g0117432	3	965622	965815	""
Os03g0117800	3	974606	978412	""
Os03g0117900	3	978816	979770	OsERF#137
Os03g0118100	3	985771	989760	""
Os03g0118200	3	991125	994700	""
Os03g0118400	3	997661	1001196	cdc2Os-1
Os03g0118425	3	998129	1001136	""
Os03g0118450	3	1002803	1003083	""
Os03g0118500	3	1004320	1007975	""
Os03g0118600	3	1004328	1007269	""
Os03g0118700	3	1008493	1010511	""
Os03g0118800	3	1015325	1020066	""
Os03g0118900	3	1021458	1024531	""
Os03g0119000	3	1024732	1026761	""
Os03g0119100	3	1027590	1031440	OsPLDbeta2
Os03g0119300	3	1034068	1036671	OsSub25
Os03g0119400	3	1047123	1047672	""
Os03g0119500	3	1049042	1075622	CRR1
Os03g0119600	3	1076081	1077338	""
Os03g0119700	3	1076133	1079259	""
Os03g0119800	3	1077878	1079254	""
Os03g0119900	3	1080801	1081326	OSJNBb0064P21.1
Os03g0119966	3	1089453	1093410	RIM1
Os03g0120000	3	1099335	1102869	""
Os03g0120100	3	1102854	1106636	""
Os03g0120200	3	1109242	1113045	OsREM6.2
Os03g0120300	3	1119802	1123751	""
Os03g0120350	3	1119962	1123541	""
Os03g0120400	3	1124982	1127056	""
Os03g0120425	3	1125324	1126855	""
Os03g0120501	3	1129985	1131399	""
Os03g0120800	3	1137129	1141062	""
Os03g0120900	3	1152918	1154697	""
Os03g0121200	3	1172250	1176178	prx33
Os03g0121250	3	1172587	1176015	""
Os03g0121300	3	1178482	1180131	prx34
Os03g0121700	3	1194347	1195744	""
Os03g0121800	3	1195075	1204839	DCL1
Os03g0122000	3	1211681	1217860	""
Os03g0122034	3	1215879	1216406	""
Os03g0122100	3	1226308	1229550	OsbHLH052
Os03g0122200	3	1232247	1234438	""
Os03g0122300	3	1235460	1244932	FLS
Os03g0122500	3	1270230	1271217	""
Os03g0122600	3	1270320	1300273	OsMADS50
Os03g0123100	3	1318268	1321639	OsSce2
Os03g0122850	3	1318429	1320822	""
Os03g0123200	3	1322549	1324314	OJ1126B12.13
Os03g0123300	3	1327450	1331022	OsCCS52A
Os03g0123500	3	1340067	1345240	HB365
Os03g0123600	3	1346049	1349514	""
Os03g0123800	3	1355516	1358037	OJ1126B12.18
Os03g0124000	3	1394429	1400133	""
Os03g0124033	3	1396209	1399528	""
Os03g0124100	3	1402828	1404996	OsSTA87
Os03g0124200	3	1406065	1408803	OsCrRLK1L6
Os03g0124300	3	1410020	1411723	""
Os03g0124500	3	1419786	1420939	""
Os03g0124800	3	1427658	1428168	""
Os03g0124900	3	1430583	1433728	OsPGL29
Os03g0125000	3	1433749	1435315	RPL5
Os03g0125100	3	1436356	1439055	DSM2
Os03g0125300	3	1444996	1448651	""
Os03g0125400	3	1449071	1451951	""
Os03g0125600	3	1457515	1461362	""
Os03g0125650	3	1462415	1466140	""
Os03g0125700	3	1463556	1466921	""
Os03g0125800	3	1476335	1483349	OsCBSDUF3
Os03g0125900	3	1484212	1486097	""
Os03g0126000	3	1486030	1490594	""
Os03g0126100	3	1494308	1497245	""
Os03g0126300	3	1499619	1504235	""
Os03g0126450	3	1505340	1508525	OsOFP21
Os03g0126600	3	1508138	1509664	""
Os03g0126700	3	1511322	1512573	""
Os03g0126800	3	1514622	1519297	OsCIPK09
Os03g0126825	3	1514817	1519042	""
Os03g0126850	3	1522341	1523328	""
Os03g0126900	3	1522404	1523048	""
Os03g0127000	3	1525222	1527076	""
Os03g0127100	3	1527270	1530877	""
Os03g0127500	3	1551291	1554059	OsbZIP25
Os03g0127600	3	1554059	1559153	""
Os03g0127650	3	1554300	1555677	""
Os03g0127700	3	1562044	1566735	""
Os03g0127800	3	1566296	1566638	""
Os03g0127900	3	1567984	1571080	""
Os03g0127950	3	1573763	1575496	""
Os03g0128000	3	1579382	1580910	OsFLA2
Os03g0128100	3	1582178	1585728	OsGSL10
Os03g0128200	3	1594653	1602046	OsGSL10
Os03g0128300	3	1608031	1609003	""
Os03g0128400	3	1609911	1611603	""
Os03g0128500	3	1612327	1616443	OsPoldelta2
Os03g0128600	3	1619517	1620294	""
Os03g0128700	3	1625098	1629527	CPK7
Os03g0128800	3	1630177	1631745	""
Os03g0128866	3	1635847	1638066	""
Os03g0128932	3	1636616	1638097	""
Os03g0129000	3	1641654	1645132	PIGF
Os03g0129100	3	1645164	1648764	OsMLO2
Os03g0129200	3	1653394	1661497	""
Os03g0129300	3	1662306	1665491	GADPH
Os03g0129400	3	1667248	1667899	""
Os03g0129800	3	1668201	1673176	""
Os03g0129850	3	1685260	1688385	""
Os03g0129900	3	1685564	1689540	""
ENSRNA049473879	3	1691769	1691869	snoZ103
ENSRNA049473893	3	1691955	1692052	snoZ103
ENSRNA049473887	3	1692140	1692237	snoZ103
ENSRNA049473876	3	1692371	1692477	snoZ103
Os03g0130100	3	1706053	1708135	""
Os03g0130200	3	1706399	1711755	""
Os03g0130300	3	1714575	1715192	DEFL8
Os03g0130350	3	1715750	1716022	""
ENSRNA049473927	3	1715787	1715947	U1
Os03g0130400	3	1716495	1719628	""
Os03g0130500	3	1720072	1727907	""
Os03g0130550	3	1727228	1727770	""
Os03g0130700	3	1737302	1742634	""
Os03g0130750	3	1745923	1748501	""
Os03g0130800	3	1752160	1758211	""
Os03g0130900	3	1765350	1770210	OsRLCK96
Os03g0130950	3	1774391	1775646	""
Os03g0131000	3	1774911	1775816	OsRLCK97
Os03g0131100	3	1776356	1780897	NLP1
Os03g0131200	3	1787679	1790806	CATC
Os03g0131300	3	1791608	1796372	""
Os03g0131333	3	1791678	1794014	""
Os03g0131400	3	1798724	1804320	""
Os03g0131450	3	1799216	1803691	""
Os03g0131500	3	1804488	1813229	""
Os03g0131800	3	1815345	1816503	""
Os03g0131825	3	1815383	1816503	""
Os03g0131900	3	1817533	1818855	OscpSRP43
Os03g0131950	3	1817620	1818990	""
Os03g0132000	3	1822255	1825976	OsACS4
Os03g0132200	3	1831332	1833035	OsEXPLA1
Os03g0132250	3	1831422	1832828	""
Os03g0132300	3	1836607	1839772	""
Os03g0132550	3	1844173	1845058	""
Os03g0132800	3	1852910	1857693	OsRLCK98
Os03g0132900	3	1860429	1861772	Cht11
Os03g0133000	3	1862381	1864245	NAC22
Os03g0133050	3	1863550	1864094	""
Os03g0133100	3	1870804	1871499	""
Os03g0133300	3	1873281	1878450	ESV1
Os03g0133400	3	1878911	1881709	CEBIP
Os03g0133500	3	1882042	1884078	OsACS
Os03g0133650	3	1882278	1883708	""
Os03g0133800	3	1885977	1891066	""
Os03g0133825	3	1886173	1887657	""
Os03g0133850	3	1890575	1891309	""
Os03g0133875	3	1892260	1892480	""
ENSRNA049473918	3	1892320	1892480	U1
Os03g0133900	3	1892829	1897309	OsSAT
Os03g0134300	3	1909201	1919394	""
Os03g0134500	3	1919768	1922021	""
Os03g0134550	3	1920124	1920663	""
Os03g0134600	3	1926259	1929765	""
Os03g0134800	3	1936269	1937270	""
Os03g0134900	3	1938240	1939691	OsGSTF14
Os03g0135100	3	1948386	1949543	OsGSTF15
Os03g0135150	3	1948605	1949028	""
Os03g0135200	3	1952302	1952932	OsGSTF16
Os03g0135300	3	1954717	1955959	OsGSTF3
Os03g0135400	3	1956859	1959763	OsFbox128
Os03g0135550	3	1970292	1971508	""
ENSRNA049473820	3	1970487	1970607	MIR171_1
Os03g0135600	3	1970948	1979567	""
Os03g0135700	3	1983566	1985563	RAI1
Os03g0135800	3	1990495	1995980	""
Os03g0136200	3	2003246	2004830	Ossmt2-1
Os03g0136400	3	2010988	2013532	OsPT7
Os03g0136450	3	2011852	2013468	""
Os03g0136500	3	2014048	2014743	""
Os03g0136600	3	2014957	2015602	""
Os03g0136700	3	2015648	2016273	""
Os03g0136800	3	2018736	2021964	OsDjC24
Os03g0136900	3	2026817	2033506	""
Os03g0136975	3	2027864	2028771	""
Os03g0137050	3	2055495	2056386	""
Os03g0137200	3	2055599	2058939	OsPP2C28
Os03g0137250	3	2058349	2058633	""
Os03g0137300	3	2059793	2062965	""
Os03g0137350	3	2059823	2062999	""
Os03g0137400	3	2065049	2067737	OsOSCA4.1
Os03g0137500	3	2069458	2073230	OSVDAC6
Os03g0137600	3	2073420	2074942	""
Os03g0137700	3	2075322	2077636	OsMRS2-5
Os03g0137750	3	2075564	2077454	""
Os03g0137800	3	2088673	2091654	OsiICK5
Os03g0138000	3	2097607	2101999	""
Os03g0138100	3	2103191	2112148	""
Os03g0138200	3	2115174	2116896	OsCYP96B6
Os03g0138400	3	2118865	2123085	""
Os03g0138500	3	2123692	2125645	""
Os03g0138600	3	2125787	2129505	OsSTA89
Os03g0138700	3	2131982	2136725	""
ENSRNA049447002	3	2139386	2139456	tRNA-Gly
Os03g0138900	3	2139916	2141093	""
Os03g0139100	3	2142726	2145398	""
Os03g0139200	3	2145765	2150519	""
Os03g0139400	3	2154645	2155581	""
Os03g0139500	3	2159337	2161733	OsCCT10
Os03g0139600	3	2170144	2171794	OsCYP96B2
Os03g0140100	3	2199772	2201456	MAH1
Os03g0140200	3	2211807	2213941	OsCYP96B5
Os03g0140300	3	2223105	2225039	OsCYP96B4
Os03g0140400	3	2223309	2225202	SD37
Os03g0140500	3	2225971	2228510	""
Os03g0140551	3	2231857	2233049	""
Os03g0140650	3	2243720	2245675	""
Os03g0140700	3	2248907	2250627	""
Os03g0140900	3	2260797	2263995	""
Os03g0141000	3	2264925	2266928	""
Os03g0141100	3	2268313	2271657	""
Os03g0141200	3	2272966	2276161	OsBamy2
Os03g0141700	3	2295350	2299785	""
Os03g0141800	3	2302598	2306807	""
Os03g0142200	3	2330581	2331600	""
Os03g0142500	3	2336789	2341656	OsRFPH2-9
Os03g0142600	3	2341955	2343111	""
Os03g0142666	3	2353582	2353690	""
Os03g0142800	3	2367856	2374437	OsABCC13
Os03g0142900	3	2375216	2378035	""
Os03g0143000	3	2380055	2384722	""
Os03g0143100	3	2387820	2390171	OsSDD1
Os03g0143150	3	2387925	2390102	""
Os03g0143200	3	2394571	2394947	""
Os03g0143300	3	2396768	2400551	""
Os03g0143400	3	2401014	2406713	htpB
Os03g0143466	3	2401401	2402441	""
Os03g0143532	3	2404986	2406245	""
Os03g0143600	3	2409889	2413431	""
Os03g0143700	3	2415606	2419564	""
Os03g0143800	3	2432922	2448897	LPL2
Os03g0143900	3	2449426	2450253	OJ1172F09.1
Os03g0144000	3	2450455	2455276	MEICA1
Os03g0144100	3	2459016	2459570	""
Os03g0144150	3	2459610	2459843	""
Os03g0144200	3	2460733	2462179	""
Os03g0144300	3	2466460	2468340	""
Os03g0144500	3	2471481	2473021	""
Os03g0144700	3	2482205	2483338	""
Os03g0144800	3	2486920	2489480	""
Os03g0144951	3	2492199	2495209	""
Os03g0145102	3	2494796	2498898	OsRLCK99
Os03g0145050	3	2495553	2499016	""
Os03g0145150	3	2505803	2506940	""
Os03g0145200	3	2506064	2507170	OsGATA4
Os03g0145300	3	2512872	2516234	""
Os03g0145500	3	2516859	2525960	""
Os03g0145600	3	2528998	2530420	OsWD40-62
Os03g0145700	3	2531001	2537847	""
Os03g0145751	3	2534050	2534463	""
Os03g0145775	3	2542773	2543266	""
Os03g0145800	3	2543680	2546338	""
Os03g0145900	3	2548699	2552574	""
Os03g0145950	3	2553395	2553589	""
Os03g0146000	3	2553889	2559108	OsRab18B2
Os03g0146100	3	2562812	2564646	OsTIP1
Os03g0146200	3	2562873	2564200	""
Os03g0146300	3	2571794	2572787	Orysa
Os03g0146400	3	2576609	2580404	OsPAO
Os03g0146500	3	2581186	2583486	""
Os03g0146600	3	2605032	2605475	""
ENSRNA049446186	3	2607621	2607691	tRNA-Gly
Os03g0146800	3	2609009	2609572	OsIPS1
Os03g0146900	3	2609710	2611671	""
Os03g0147001	3	2613684	2615443	""
Os03g0147150	3	2626993	2628503	""
Os03g0147400	3	2651951	2661701	SIET4
Os03g0147550	3	2652066	2654298	""
Os03g0147700	3	2677259	2682146	""
Os03g0147900	3	2682324	2685442	""
Os03g0148000	3	2685582	2688291	""
Os03g0148300	3	2695582	2696627	""
Os03g0148400	3	2698774	2700402	""
Os03g0148700	3	2707497	2710821	OsRLCK100
Os03g0148800	3	2713317	2715918	""
Os03g0148950	3	2718103	2718273	""
Os03g0149000	3	2723037	2723835	OsCrll1
Os03g0149050	3	2723080	2723585	""
Os03g0149100	3	2726696	2727559	CRL1
Os03g0149200	3	2739653	2743118	""
Os03g0149300	3	2748162	2753327	""
Os03g0149400	3	2757617	2760567	""
Os03g0149700	3	2771187	2772433	""
Os03g0149800	3	2776626	2777769	""
Os03g0150200	3	2800290	2800922	OsERF#088
Os03g0150500	3	2804141	2805941	OsPT12
Os03g0150550	3	2804202	2805769	""
Os03g0150600	3	2807616	2809540	PT1
Os03g0150700	3	2811754	2814873	""
Os03g0150800	3	2815502	2817322	PT2
Os03g0150901	3	2815744	2817289	""
Os03g0151000	3	2819265	2820118	""
Os03g0151100	3	2823077	2828037	""
Os03g0151201	3	2823275	2825432	""
Os03g0151300	3	2833113	2841685	JMJ701
Os03g0151500	3	2841790	2842391	""
Os03g0151600	3	2843857	2844839	""
Os03g0151700	3	2845714	2851680	OsWD40-63
Os03g0151800	3	2852295	2856681	OsCDC48
Os03g0151850	3	2853050	2856382	""
Os03g0151900	3	2857179	2860218	OsRab5A1
Os03g0152000	3	2866379	2868145	""
Os03g0152100	3	2870376	2875830	Orysa
Os03g0152200	3	2872974	2875186	""
Os03g0152300	3	2878831	2880830	prx36
Os03g0152400	3	2883005	2887887	OsACS1
Os03g0152500	3	2886826	2887778	""
Os03g0152600	3	2897477	2900285	""
Os03g0152700	3	2901596	2906614	""
Os03g0152800	3	2907115	2912658	""
Os03g0152900	3	2913921	2922883	KINUA
Os03g0152950	3	2914758	2917205	""
Os03g0153000	3	2922849	2924744	""
Os03g0153100	3	2934839	2943217	""
Os03g0153400	3	2947355	2948285	""
Os03g0153500	3	2951457	2952612	""
Os03g0153900	3	2958312	2960398	""
Os03g0154000	3	2961746	2964295	""
Os03g0154100	3	2964716	2967286	""
Os03g0154300	3	2968984	2982526	""
Os03g0154700	3	2986050	2989232	OsRPS9-2
Os03g0154750	3	2987483	2988911	""
Os03g0155000	3	2994392	2995344	""
Os03g0155300	3	2998855	2999999	OsEXPA12
Os03g0155400	3	2999161	2999885	""
Os03g0155500	3	3003413	3004537	OsEXPA25
Os03g0155566	3	3003478	3004291	""
Os03g0155632	3	3006357	3007060	""
Os03g0155700	3	3006419	3007309	OsEXPA15
Os03g0155900	3	3021246	3022564	OsEXPA18
Os03g0155933	3	3021284	3021392	""
Os03g0155966	3	3021604	3022348	""
Os03g0156000	3	3026522	3027521	OsEXPA19
Os03g0156100	3	3026554	3026662	""
Os03g0156200	3	3026814	3027483	""
Os03g0156300	3	3036386	3037894	OsEXPA20
Os03g0156366	3	3036423	3036531	""
Os03g0156432	3	3037227	3037865	""
Os03g0156500	3	3039764	3045332	""
Os03g0156600	3	3046791	3047782	""
Os03g0156700	3	3048617	3051742	OsZNL
Os03g0157000	3	3053315	3064760	Os_F0404
Os03g0157300	3	3068969	3074025	OsMCA1
Os03g0157400	3	3076026	3085989	OsABCG4
Os03g0157450	3	3079168	3080570	""
Os03g0157500	3	3091858	3095644	""
Os03g0157600	3	3096030	3096880	""
Os03g0157700	3	3097965	3102110	OJ1134F05.2
Os03g0157800	3	3103834	3109737	""
Os03g0157900	3	3110725	3112384	OJ1134F05.4
Os03g0158000	3	3114416	3115461	""
Os03g0158200	3	3115986	3120267	OsRH38
Os03g0158250	3	3116032	3119791	""
Os03g0158300	3	3120322	3123758	""
Os03g0158500	3	3126216	3130478	""
Os03g0158550	3	3126417	3127680	""
Os03g0158600	3	3132124	3132741	""
Os03g0158700	3	3151514	3165238	OsSub27
Os03g0158800	3	3151773	3152850	""
Os03g0158900	3	3156837	3158309	OJ1134F05.14
Os03g0159100	3	3165801	3168806	OsRLCK101
Os03g0159150	3	3170081	3176302	""
Os03g0159200	3	3170103	3176292	""
Os03g0159400	3	3178572	3179590	OsOFP7
Os03g0159600	3	3184496	3185936	OsLEA30
Os03g0159700	3	3186782	3189325	OJ1134F05.20
Os03g0159800	3	3192052	3195531	""
Os03g0159900	3	3195766	3196656	""
Os03g0160000	3	3197694	3199982	""
Os03g0160100	3	3201345	3208276	ACDR1
Os03g0160200	3	3208862	3211539	""
Os03g0160300	3	3212791	3213075	""
Os03g0160400	3	3215854	3220186	""
Os03g0160502	3	3216178	3216835	""
Os03g0160600	3	3229040	3233510	""
Os03g0160900	3	3241745	3242616	""
Os03g0161000	3	3252987	3257807	""
Os03g0161100	3	3260107	3270386	""
Os03g0161150	3	3269319	3270225	""
Os03g0161200	3	3271150	3276878	OsSultr3
Os03g0161302	3	3271246	3276760	""
Os03g0161400	3	3310338	3312548	""
Os03g0161450	3	3311378	3311898	""
Os03g0161500	3	3314782	3317408	""
Os03g0161600	3	3323449	3324598	""
Os03g0161800	3	3338349	3341034	Sip2A
Os03g0161900	3	3342254	3344547	HSFA2D
Os03g0161950	3	3347543	3349320	""
Os03g0162000	3	3355041	3360448	COW1
Os03g0162200	3	3371375	3372344	""
Os03g0162300	3	3378485	3379340	""
Os03g0162400	3	3379748	3381609	""
Os03g0162500	3	3380200	3381695	OJ1607A12.9
Os03g0162650	3	3402625	3404254	""
Os03g0162725	3	3402705	3406888	""
Os03g0162800	3	3405791	3407198	""
Os03g0162900	3	3407989	3413958	""
Os03g0163000	3	3414481	3416562	""
Os03g0163100	3	3417333	3424868	""
Os03g0163150	3	3417849	3424584	""
Os03g0163200	3	3424904	3426962	""
Os03g0163300	3	3427553	3432223	OsGR1
Os03g0163400	3	3433024	3434082	""
Os03g0163500	3	3435024	3439334	OJ1607A12.3
Os03g0163600	3	3444764	3445006	""
Os03g0163900	3	3452742	3453008	""
Os03g0164100	3	3463704	3467281	""
Os03g0164200	3	3468343	3469139	""
Os03g0164300	3	3469731	3470961	""
Os03g0164400	3	3471177	3473588	""
Os03g0164700	3	3479411	3482159	""
Os03g0164800	3	3483353	3485708	OsSTA90
Os03g0164901	3	3487755	3488340	""
ENSRNA049473859	3	3487792	3487903	mir-166
Os03g0165000	3	3489771	3500088	TOP3
Os03g0165025	3	3489771	3500181	""
Os03g0165050	3	3500612	3501013	""
Os03g0165100	3	3501294	3504478	""
Os03g0165266	3	3506365	3512883	DRD1
Os03g0165300	3	3513371	3517214	OsBLH6
Os03g0165350	3	3513423	3515847	""
Os03g0165375	3	3521804	3522235	""
Os03g0165400	3	3525115	3531350	OsBgal1
Os03g0165600	3	3539613	3544723	""
Os03g0165800	3	3551775	3554415	""
Os03g0165900	3	3555490	3558352	""
Os03g0166000	3	3561596	3565365	""
Os03g0166050	3	3567001	3568783	""
Os03g0166100	3	3567173	3568821	""
Os03g0166200	3	3570194	3571828	""
Os03g0166600	3	3599796	3602736	""
Os03g0166800	3	3616611	3622202	OsCCR4b
Os03g0166900	3	3624851	3625983	""
Os03g0167000	3	3626392	3628578	OsLTPG2
Os03g0167100	3	3631027	3631197	""
Os03g0167200	3	3631183	3635525	OsSTA91
Os03g0167302	3	3631277	3632275	""
Os03g0167400	3	3638615	3642337	""
Os03g0167450	3	3641803	3642315	""
Os03g0167500	3	3646873	3651577	OsRMR3
Os03g0167550	3	3647830	3649876	""
Os03g0167600	3	3653709	3657069	OsMS2
Os03g0167650	3	3654073	3656422	""
Os03g0167700	3	3657127	3661833	OsPP44
Os03g0167750	3	3657385	3659234	""
Os03g0167775	3	3661520	3661905	""
Os03g0167800	3	3664640	3669746	OsFbox129
Os03g0168000	3	3674285	3678314	OSJNBa0091P11.34
Os03g0168100	3	3678292	3679969	OsLEA16
Os03g0168200	3	3681100	3683235	OSJNBa0091P11.31
Os03g0168300	3	3683172	3685295	""
Os03g0168400	3	3690005	3697299	""
Os03g0168500	3	3694742	3696580	OsEnS-44
Os03g0168550	3	3700039	3701677	OSJNBa0091P11.28
Os03g0168600	3	3702125	3704085	CYP704B2
Os03g0168650	3	3702511	3703608	""
Os03g0168700	3	3705167	3706777	OsSET14
Os03g0168800	3	3707189	3708497	""
Os03g0168900	3	3711147	3713253	OSJNBa0091P11.11
Os03g0169000	3	3713492	3721105	OSJNBa0091P11.24
Os03g0169100	3	3713990	3717346	RPE
Os03g0169300	3	3724584	3726496	OSJNBa0091P11.22
Os03g0169400	3	3727764	3728922	OSJNBa0091P11.9
Os03g0169500	3	3729174	3733685	OsCslA4
Os03g0169550	3	3732514	3733369	""
Os03g0169600	3	3738868	3741611	RDD4
Os03g0169700	3	3739843	3741336	OsDof12os
Os03g0169800	3	3744487	3746086	OSJNBa0091P11.7
Os03g0169900	3	3747934	3750271	""
Os03g0170000	3	3751182	3753905	""
Os03g0170100	3	3757543	3758135	OSJNBa0091P11.19
Os03g0170200	3	3760520	3762362	""
Os03g0170300	3	3763827	3767153	OSJNBa0091P11.6
Os03g0170400	3	3767426	3771538	OsRLCK102
Os03g0170450	3	3768083	3769769	""
Os03g0170500	3	3776809	3777621	OSJNBa0091P11.4
Os03g0170600	3	3784341	3785140	Oshox21
Os03g0170701	3	3786235	3787068	""
Os03g0170800	3	3794582	3795566	OsGRL5
Os03g0170900	3	3797698	3804132	OsSUT1
Os03g0171300	3	3814378	3823216	ILI6
Os03g0171600	3	3834150	3836735	OsFBK12
Os03g0171700	3	3845564	3846658	ILI3
Os03g0171900	3	3854304	3858338	""
Os03g0171950	3	3855141	3857362	""
Os03g0172000	3	3859447	3864548	MOS3/SAR3
Os03g0172100	3	3866613	3867121	""
Os03g0172200	3	3867253	3871354	""
Os03g0172400	3	3874153	3874548	""
Os03g0172700	3	3889565	3890307	""
Os03g0172850	3	3893027	3893580	""
Os03g0173500	3	3929685	3935653	""
Os03g0173700	3	3936681	3940818	""
Os03g0173900	3	3961041	3966305	""
Os03g0174100	3	3970216	3974508	""
Os03g0174200	3	3974957	3977413	""
Os03g0174300	3	3978668	3983475	""
Os03g0174400	3	3984892	3985856	OsERF#041
Os03g0174500	3	3986852	3989994	PURA1
Os03g0174600	3	3990111	3997812	""
Os03g0174800	3	3999092	4000029	""
Os03g0174900	3	4001995	4005428	OsHAP2C
Os03g0175200	3	4015428	4016017	""
Os03g0175600	3	4024383	4028509	OsCPA2
Os03g0175800	3	4038341	4039509	BG1
Os03g0176100	3	4047742	4050253	""
Os03g0176200	3	4057213	4057661	""
Os03g0176300	3	4057561	4059890	OsPLT10
Os03g0176500	3	4066159	4067080	""
Os03g0176700	3	4069860	4072360	""
Os03g0176800	3	4073587	4077624	OsSTA92
Os03g0176900	3	4079447	4080084	""
Os03g0177000	3	4081667	4085041	""
Os03g0177100	3	4087004	4089734	""
Os03g0177300	3	4090005	4093914	""
Os03g0177400	3	4094567	4097436	rfa1*
Os03g0177500	3	4099985	4102960	rfa4*
Os03g0177900	3	4110375	4113592	rfa3*
Os03g0177966	3	4116058	4118887	""
Os03g0178000	3	4116932	4119755	rfa2*
Os03g0178066	3	4119985	4122323	""
Os03g0178100	3	4120367	4126939	OsHMA6
Os03g0178150	3	4126045	4126445	""
Os03g0178200	3	4129653	4131131	""
Os03g0178300	3	4131128	4132544	""
Os03g0178400	3	4133458	4136490	OSJNBa0050H14.5
Os03g0178500	3	4136960	4142715	""
Os03g0178550	3	4141936	4143332	""
Os03g0178600	3	4144020	4144383	""
Os03g0179000	3	4150750	4157419	""
Os03g0179100	3	4157591	4158512	OsGLP3-1
Os03g0179200	3	4161347	4163473	""
Os03g0179400	3	4173178	4179068	RLCK103
Os03g0179700	3	4181381	4182557	OSJNBa0050H14.13
Os03g0179750	3	4186865	4188444	""
Os03g0179900	3	4187158	4193200	OsLOX2
Os03g0179950	3	4193294	4193538	""
Os03g0180000	3	4194372	4196475	OsCCX1
Os03g0180100	3	4199851	4200735	""
Os03g0180300	3	4203524	4210236	""
Os03g0180400	3	4210533	4212985	OsPAA1
Os03g0180500	3	4216734	4219053	""
Os03g0180600	3	4222085	4223728	""
Os03g0180700	3	4223430	4228423	""
Os03g0180800	3	4232004	4233038	TIFY11A
Os03g0180900	3	4236724	4238058	OsJAZ2
Os03g0181100	3	4248884	4249820	OsJAZ4
Os03g0181400	3	4260935	4262845	""
Os03g0181500	3	4266978	4271781	ONI1
Os03g0181550	3	4267130	4271539	""
